study_id,mobilevit_s1,mobilevit_s2,repvit_s1,repvit_s2,teacher
53042347,0.1769,0.1818,0.1169,0.0316,0.0323
58984392,0.0267,0.0167,0.0784,0.2108,0.1135
52362021,0.0583,0.0386,0.0198,0.0185,0.0324
55120315,0.0652,0.0786,0.1253,0.0993,0.1249
52901971,0.1008,0.1576,0.0315,0.0228,0.1279
58613391,0.0760,0.0801,0.0314,0.0328,0.1552
54966187,0.1044,0.0639,0.0287,0.0225,0.0669
59565191,0.0642,0.0598,0.0379,0.0449,0.1883
56128182,0.0816,0.0858,0.0494,0.0692,0.0769
59539063,0.1087,0.1110,0.0946,0.0765,0.1069
Mean,0.0863,0.0874,0.0614,0.0629,0.1025
StdDev,0.0383,0.0482,0.0372,0.0555,0.0482
